"","zip_code","year","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share"
"101","90807","2014",4,4.49125,20983.085,20983.085,67,5.39282430085361,0.0597014925373134
"102","90807","2016",3,4.035,16355.6866666667,18152.3533333333,110,5.80888611013199,0.0272727272727273
"103","90808","2013",1,2.99,18303.49,18303.49,76,5.1150096287074,0.0131578947368421
"104","90810","2011",1,1.15,10000,10282.83,2,2.645,0.5
"105","90810","2012",2,2.38,13961.895,13961.895,5,2.81784051888592,0.4
"106","90810","2013",16,3.379375,16660.50125,17175.661875,21,3.57214285714286,0.761904761904762
"107","90810","2014",10,3.1725,15810.155,16513.839,28,7.79330115277702,0.357142857142857
"108","90810","2015",7,3.11428571428571,13869.4814285714,16170.7942857143,86,4.02125983617686,0.0813953488372093
"109","90813","2009",1,2.28,11436,14717.76,2,3.39,0.5
"110","90813","2010",1,1.76,10668,13346.6,2,2.32,0.5
"111","90813","2011",2,3.97,22914.5,24873.07,1,2.53,2
"112","90813","2012",7,2.63071428571429,14901.2442857143,15353.2914285714,9,3.19166666666667,0.777777777777778
"113","90813","2013",2,1.775,11000,11016.78,3,2,0.666666666666667
"114","90813","2014",5,3.01,15671.66,16530.782,13,3.47521527309013,0.384615384615385
"115","90813","2015",6,2.91083333333333,11091.8983333333,16414.8933333333,21,3.59347252473751,0.285714285714286
"116","90813","2016",2,2.04,6011.135,9581.135,31,4.21027754602513,0.0645161290322581
"117","90815","2012",1,3.68,21748.47,21748.47,37,4.10464010022995,0.027027027027027
"118","90815","2014",1,4.9,22490.14,22490.14,111,5.42028380268861,0.00900900900900901
"119","91001","2016",1,4.505,20573.09,20573.09,160,5.70199329439602,0.00625
"120","91010","2011",8,2.37,12912.50125,14799.49,8,3.02375,1
"121","91010","2012",6,3.13583333333333,15628.7,15628.7,13,3.8257078918792,0.461538461538462
"122","91010","2013",1,2.6,12139.85,12139.85,25,4.51865306371614,0.04
"123","91016","2012",1,3.68,19196.76,19196.76,20,5.82531012972148,0.05
"124","91360","2012",2,2.4,14098.265,14372.695,76,5.62399459828511,0.0263157894736842
"125","91360","2013",1,4.165,21702,21702,119,6.19145548719297,0.00840336134453781
"126","91362","2013",1,4.25,24682.53,24682.53,125,7.36817322548646,0.008
"127","91701","2012",1,1.84,11109,12100.87,76,6.10548297154561,0.0131578947368421
"128","91710","2011",3,4.33333333333333,25120.8866666667,25120.8866666667,49,5.17104094869539,0.0612244897959184
"129","91710","2012",5,3.308,18608.37,19041.644,69,5.58877995454772,0.072463768115942
"130","91722","2013",1,5.17,22349.38,22349.38,19,5.13696030040764,0.0526315789473684
"131","91723","2015",1,3.06,15855,15855,69,5.25825847040984,0.0144927536231884
"132","91730","2012",4,3.465,19012.4575,19350.565,30,4.20530431133155,0.133333333333333
"133","91732","2011",1,2.76,16275,16275,1,3.36,1
"134","91732","2013",1,3.43,18432.86,18432.86,14,3.997,0.0714285714285714
"135","91732","2014",2,3,15918.235,17299.185,39,4.5702654007572,0.0512820512820513
"136","91732","2015",2,3.9275,17877.715,20065.215,72,4.87930156776897,0.0277777777777778
"137","91732","2016",1,5.5,18108.55,27733.55,62,5.24687346054391,0.0161290322580645
"138","91733","2014",1,2.695,15210,15825.01,14,4.36609568321797,0.0714285714285714
"139","91739","2011",1,3.8,22219.54,22219.54,75,8.95989031667303,0.0133333333333333
"140","91739","2013",1,4.7,21388.54,21388.54,153,6.68843632500692,0.0065359477124183
"141","91740","2014",1,4.165,21702,22026.95,59,5.47865649674403,0.0169491525423729
"142","91744","2013",3,3.16833333333333,17683.49,17683.49,32,5.39729583174361,0.09375
"143","91744","2015",1,4.335,13194.56,20780.81,128,4.90685650453877,0.0078125
"144","91744","2016",1,3.5,13059.15,19184.15,271,5.10246431265902,0.003690036900369
"145","91745","2013",1,4.9,30447.3,30447.3,100,5.75419855780237,0.01
"146","91745","2014",1,5.39,22204.98,22204.98,109,5.31406724795144,0.00917431192660551
"147","91746","2015",2,4.9725,23782.28,23782.28,38,5.45077778446172,0.0526315789473684
"148","91752","2011",1,4.6,26275.44,26275.44,24,5.59041666666667,0.0416666666666667
"149","91752","2015",2,4.03,6114.6,13167.1,296,5.70354229702022,0.00675675675675676
"150","91755","2012",1,2.3,9419.25,13196.45,5,5.102,0.2
"151","91761","2012",1,6,33841.54,33841.54,64,3.51345629053796,0.015625
"152","91762","2011",2,4.6,24620.37,24620.37,12,5.26,0.166666666666667
"153","91764","2011",1,2.3,13377,13795.46,6,3.63333333333333,0.166666666666667
"154","91764","2012",1,4.6,27597.37,27597.37,7,5.10857142857143,0.142857142857143
"155","91766","2011",2,2.88,16607.25,16925.5,11,3.98654545454545,0.181818181818182
"156","91770","2012",1,3.22,16662,16763.91,11,10.4193385591898,0.0909090909090909
"157","91784","2013",1,3.9,17798.74,17798.74,98,6.89762159247522,0.0102040816326531
"158","91786","2012",2,3.91,21313.54,21313.54,22,4.52428524851722,0.0909090909090909
"159","91786","2013",7,5.19357142857143,23886.93,23886.93,42,5.84440260896423,0.166666666666667
"160","91786","2014",1,3.185,13631.14,13631.14,72,5.90366661897495,0.0138888888888889
"161","91786","2015",1,5.5,20397.03,20397.03,137,6.31079364903393,0.0072992700729927
"162","91901","2013",1,5.5,31616,31616,145,7.27514482758621,0.00689655172413793
"163","91905","2012",1,3.85,22701,22701,5,7.7324,0.2
"164","91906","2014",1,3.92,18782.17,18782.17,31,2.97274193548387,0.032258064516129
"165","91910","2012",2,3.345,15000.045,15000.045,64,4.4019957411877,0.03125
"166","91910","2013",1,2.94,9922.01,9922.01,81,4.65493209876543,0.0123456790123457
"167","91911","2010",1,2.3,11808,15513.44,25,3.18240805268109,0.04
"168","91911","2012",1,2.94,8255.28,8255.28,36,3.64406079429227,0.0277777777777778
"169","91911","2013",1,2.25,9428.75,9428.76,65,4.07930769230769,0.0153846153846154
"170","91932","2011",3,3.83333333333333,21336.37,22374.1766666667,26,2.87769230769231,0.115384615384615
"171","91932","2012",2,3.055,16855.5,16855.5,13,3.94784615384615,0.153846153846154
"172","91932","2013",5,2.823,15154.038,15154.038,26,4.28118846153846,0.192307692307692
"173","91935","2011",2,5.5575,32841.25,32841.25,53,6.67146844502277,0.0377358490566038
"174","91945","2011",1,5.98,33358.1,33358.1,15,3.49033333333333,0.0666666666666667
"175","91945","2012",4,3.26625,18321.9725,19763.2575,40,4.453175,0.1
"176","91945","2013",10,3.599,18445.615,19149.101,57,4.49833333333333,0.175438596491228
"177","91945","2014",2,3.43,16358.655,16358.655,98,4.76347959183673,0.0204081632653061
"178","91950","2010",1,2.2,12168,15071.48,8,2.31139487300094,0.125
"179","91950","2011",1,2.99,15306,18627.03,25,18.624952783159,0.04
"180","91950","2012",10,2.9895,16878.311,17772.157,22,3.10886363636364,0.454545454545455
"181","91950","2013",8,3.24,17074.775,17074.775,20,2.8969,0.4
"182","91950","2014",5,3.693,19162.078,20260.274,30,4.46533333333333,0.166666666666667
"183","91963","2012",1,6.11,36953,36953,3,5.85166666666667,0.333333333333333
"184","91963","2013",1,5.5,28512,28512,5,5.484,0.2
"185","91977","2012",1,1.38,10000,10571.96,81,4.33814528208796,0.0123456790123457
"186","91977","2013",5,4.298,22369.414,22369.416,130,4.61565538461538,0.0384615384615385
"187","91977","2014",1,2.75,11347.75,11347.75,259,5.09546718146718,0.00386100386100386
"188","92009","2013",1,1.44,7303.8,7303.8,163,6.18295214723926,0.00613496932515337
"189","92019","2010",1,2.4,13915.46,13915.46,65,6.6310904985889,0.0153846153846154
"190","92020","2010",1,2.2,10932,13785.39,46,5.54953071700274,0.0217391304347826
"191","92020","2011",1,2.3,9324.25,14606.01,63,5.73246141215107,0.0158730158730159
"192","92020","2012",1,5.64,29238,29238,84,5.35677355293262,0.0119047619047619
"193","92020","2013",1,1.5,7818,7818,140,5.68066857142857,0.00714285714285714
"194","92024","2010",1,1.32,10000,11141.37,73,5.15553642443846,0.0136986301369863
"195","92025","2010",8,1.5125,10732.5,12539.46375,60,5.642134289746,0.133333333333333
"196","92025","2012",1,2.585,15495.11,15495.11,76,6.42471044359889,0.0131578947368421
"197","92025","2013",1,5.64,32246.5,32246.5,148,6.78380405405405,0.00675675675675676
"198","92025","2014",1,3.92,20106.27,20106.27,258,6.81414341085271,0.00387596899224806
"199","92026","2009",7,2.31285714285714,12307.8571428571,13294.5371428571,45,5.63541138211382,0.155555555555556
"200","92026","2010",1,1.32,9986.85,11075.78,56,5.6341591519957,0.0178571428571429
"201","92027","2011",2,6.21,33647.42,33647.42,73,5.03577279168635,0.0273972602739726
"202","92028","2012",1,8.28,48622,48622,189,6.68435227118837,0.00529100529100529
"203","92028","2014",2,3.835,16285.975,16285.975,448,6.72062946428571,0.00446428571428571
"204","92036","2011",1,4.8,28777,28777,7,4.96285714285714,0.142857142857143
"205","92036","2012",2,6.345,34836,34836,11,4.13618181818182,0.181818181818182
"206","92057","2010",2,2.52,14111.88,17039.815,34,3.74720234076697,0.0588235294117647
"207","92057","2011",12,2.885,14315.3333333333,18980.3116666667,47,3.41373514306676,0.25531914893617
"208","92057","2012",3,2.76,15310.75,18300.6466666667,75,3.81028574764257,0.04
"209","92057","2014",2,2.94,14778.72,15076.075,270,5.0376037037037,0.00740740740740741
"210","92061","2011",3,5.67333333333333,30258.05,30858.7266666667,8,5.46137931034483,0.375
"211","92061","2012",6,4.67583333333333,25325.095,26093.1166666667,9,5.83722222222222,0.666666666666667
"212","92061","2013",7,4.555,23777.4642857143,23777.4642857143,11,5.56772727272727,0.636363636363636
"213","92061","2014",2,3.5525,17802.57,19248.485,35,6.96277142857143,0.0571428571428571
"214","92061","2015",2,4.8,21489.14,21489.14,40,8.582275,0.05
"215","92064","2012",2,2.4,12085.515,12085.515,202,11.8718281331276,0.0099009900990099
"216","92065","2011",1,5.28,27420,27919.18,147,5.03143607787943,0.00680272108843537
"217","92065","2012",1,7.92,44785,44785,186,6.32020616722434,0.00537634408602151
"218","92065","2014",2,4.8325,27297.78,27723.46,441,7.16659863945578,0.00453514739229025
"219","92066","2012",1,7,39186,39186,1,5,1
"220","92066","2014",3,3.58,19151.9066666667,19151.9066666667,5,5.386,0.6
"221","92069","2011",2,2.85,15275.75,17013.535,39,4.26875066312997,0.0512820512820513
"222","92070","2014",2,5,25730.5,25867.5,3,6.28,0.666666666666667
"223","92071","2011",2,4.14,22386.45,23108.245,122,4.20407490107405,0.0163934426229508
"224","92082","2012",3,2.69833333333333,14872.3366666667,14937.2966666667,99,7.16882059934777,0.0303030303030303
"225","92082","2013",10,4.4645,23353.632,23353.632,138,7.45828985507246,0.072463768115942
"226","92082","2014",11,3.74363636363636,17656.81,17656.81,301,8.2206976744186,0.0365448504983389
"227","92082","2015",6,4.01166666666667,18228.6883333333,18228.6883333333,335,8.14020597014925,0.017910447761194
"228","92083","2010",1,2.3,13776,15539.83,8,3.26750176387582,0.125
"229","92083","2011",3,3.40333333333333,15408.1666666667,20007.4166666667,18,4.16111111111111,0.166666666666667
"230","92101","2013",2,3.675,16732.875,16732.875,13,3.79669230769231,0.153846153846154
"231","92102","2009",3,3.32333333333333,17950.6566666667,20678.38,12,2.53128048780488,0.25
"232","92102","2010",2,2.3,13294.75,15481.61,14,2.15928571428571,0.142857142857143
"233","92102","2012",11,2.70045454545455,14651.21,16165.5963636364,24,3.611375,0.458333333333333
"234","92102","2013",7,2.93857142857143,13975.7271428571,14600.1928571429,30,3.8645,0.233333333333333
"235","92102","2014",1,4.41,26314.84,26314.84,33,4.50160606060606,0.0303030303030303
"236","92104","2010",3,2.14666666666667,12616.6666666667,14816.8666666667,25,3.19994780809031,0.12
"237","92104","2011",4,2.9775,14487.875,19605.69,34,5.67366125760649,0.117647058823529
"238","92104","2012",2,1.38,8421.25,11570.23,32,4.94481519194756,0.0625
"239","92104","2013",1,2.585,13587.14,13587.14,48,7.19039583333333,0.0208333333333333
"240","92105","2010",11,2.93545454545455,15758.2954545455,18589.6427272727,25,5.11227650047037,0.44
"241","92105","2011",41,2.8209756097561,15721.1317073171,18234.4643902439,61,3.73560503087929,0.672131147540984
"242","92105","2012",45,2.77886666666667,14707.4788888889,16800.0077777778,59,4.1224353732695,0.76271186440678
"243","92105","2013",35,2.92985714285714,14771.0151428571,16288.3985714286,69,3.83955072463768,0.507246376811594
"244","92105","2014",6,2.93666666666667,14941.005,16360.2766666667,46,3.70110869565217,0.130434782608696
"245","92105","2015",2,2.7875,11589.105,13941.81,137,4.32641605839416,0.0145985401459854
"246","92111","2010",3,3.085,18014.4233333333,19986.94,15,4.03194104735027,0.2
"247","92111","2011",2,3.91,19547.605,21940.925,34,4.64818872833907,0.0588235294117647
"248","92111","2014",1,2.695,14112,15814.58,116,4.70595689655172,0.00862068965517241
"249","92111","2015",1,3.25,12155.44,12155.44,214,5.22956542056075,0.00467289719626168
"250","92113","2011",12,2.6875,15653.2616666667,16935.5425,46,11.9749055472264,0.260869565217391
"251","92113","2012",4,2.3275,12456.395,14089.88,7,5.43428571428571,0.571428571428571
"252","92113","2013",4,3.15875,18422.25,18967.165,13,3.75915384615385,0.307692307692308
"253","92113","2014",3,3.445,15973.05,17080.1033333333,32,3.8571875,0.09375
"254","92113","2015",1,2.04,8585.44,12155.44,64,4.101671875,0.015625
"255","92114","2010",1,2.2,13167,14957.14,26,2.66457305159563,0.0384615384615385
"256","92114","2011",1,2.99,16655.99,16655.99,16,2.30633189655172,0.0625
"257","92114","2012",13,2.94653846153846,14700.4476923077,15454.2715384615,56,3.287625,0.232142857142857
"258","92114","2013",59,3.47423728813559,17162.4523728814,18098.6749152542,138,3.81399275362319,0.427536231884058
"259","92114","2014",20,3.44,17097.8585,17710.173,218,4.94927981651376,0.0917431192660551
"260","92114","2015",2,3.1,14909.94,14909.94,480,4.72726041666667,0.00416666666666667
"261","92114","2018",1,4.41,16370.51,16370.51,NA,NA,NA
"262","92115","2010",2,1.81,11888,13599.42,39,6.45061685601949,0.0512820512820513
"263","92115","2011",5,3.932,20186.242,21997.702,26,4.16323076923077,0.192307692307692
"264","92115","2012",8,3.689375,19425.75625,20348.0125,60,4.4394492216734,0.133333333333333
"265","92115","2013",2,4.0425,18984.565,18984.565,79,5.55260759493671,0.0253164556962025
"266","92115","2014",3,2.795,14807.1033333333,15555.8733333333,134,5.12358955223881,0.0223880597014925
"267","92117","2013",2,3.8525,23103.735,23447.265,153,4.75567973856209,0.0130718954248366
"268","92117","2014",2,3.185,14176.47,16699.955,206,5.08991019417476,0.00970873786407767
"269","92139","2013",1,4,24451,24451,30,4.58516666666667,0.0333333333333333
"270","92139","2014",7,2.695,14202.8785714286,15214.1385714286,97,5.49364948453608,0.0721649484536082
"271","92154","2011",2,3.41,18360.875,22057.145,28,2.64818596059113,0.0714285714285714
"272","92154","2012",5,2.978,14799.036,16551.078,43,3.75407665960046,0.116279069767442
"273","92154","2013",8,3.640625,16926.995,18390.43625,71,3.81838028169014,0.112676056338028
"274","92154","2014",8,3.42125,17994.3475,18595.07875,154,4.28009090909091,0.051948051948052
"275","92154","2015",1,2.45,10041.5,15359.41,317,4.48681072555205,0.00315457413249211
"276","92173","2009",2,1.32,10000,10421.105,6,2.72516666666667,0.333333333333333
"277","92173","2013",1,4.165,23796.5,29611.5,2,3.5525,0.5
"278","92211","2010",1,2.8,15392,16831.86,37,7.14432432432432,0.027027027027027
"279","92211","2011",1,4.84,29027.46,29027.46,40,6.72585,0.025
"280","92211","2012",19,3.39368421052632,17840.9826315789,17840.9826315789,58,6.11550984751806,0.327586206896552
"281","92211","2013",36,3.35347222222222,18072.5041666667,18072.5041666667,123,6.30597383236709,0.292682926829268
"282","92211","2014",30,3.39,14618.898,14618.898,205,7.66208514158625,0.146341463414634
"283","92211","2016",2,3.18,13921.22,14154.645,223,9.39624249748483,0.00896860986547085
"284","92223","2011",2,4.75,28605.6,28605.6,38,4.57855651719914,0.0526315789473684
"285","92223","2012",4,3.45,19503.405,19191.69,112,4.05176068975854,0.0357142857142857
"286","92223","2013",4,4.04625,23072.1975,23072.1975,207,4.2873015591276,0.0193236714975845
"287","92225","2012",3,7.045,35149.6766666667,35149.6766666667,16,14.5297009729111,0.1875
"288","92225","2013",5,6.182,32732.492,32732.492,40,7.76183254483022,0.125
"289","92225","2014",3,5.61,34223,34223,98,8.11741300251501,0.0306122448979592
"290","92225","2015",7,4.52714285714286,15476.4914285714,19163.9914285714,146,8.01922641842044,0.0479452054794521
"291","92225","2016",6,4.6975,16605.8583333333,21034.8166666667,128,7.75584119761531,0.046875
"292","92230","2011",2,3.78,20256.15,20256.15,3,4.00798168637924,0.666666666666667
"293","92230","2014",1,3.75,17248.62,17248.62,1,3.77718428080885,1
"294","92234","2011",25,4.5906,25693.2964,25961.2936,64,5.46416364221671,0.390625
"295","92234","2012",40,5.38115,29709.59,29789.651,99,6.29963320731157,0.404040404040404
"296","92234","2013",9,4.88755555555556,23316.5955555556,23316.5955555556,184,7.17288030622232,0.0489130434782609
"297","92234","2014",14,4.79928571428571,21383.1242857143,21383.1242857143,467,7.4847561484534,0.0299785867237687
"298","92234","2015",4,3.97875,18290.34,18604.6425,641,7.55160447444747,0.0062402496099844
"299","92234","2016",2,4.19,16245.31,16245.31,533,7.70785460522975,0.00375234521575985
"300","92240","2011",14,4.24607142857143,23090.0171428571,23090.0171428571,28,4.98851820461111,0.5
"301","92240","2012",51,4.25627450980392,22428.5929411765,22531.8788235294,83,5.12971159724744,0.614457831325301
"302","92240","2013",13,4.16692307692308,19956.9369230769,19956.9369230769,56,6.43357142857143,0.232142857142857
"303","92240","2014",12,4.35291666666667,19708.4108333333,19708.4108333333,141,6.4500133130931,0.0851063829787234
"304","92240","2015",27,3.98537037037037,16225.7977777778,16394.3162962963,300,6.50236710548734,0.09
"305","92240","2016",6,3.48166666666667,14617.385,14617.385,359,6.00510199482808,0.0167130919220056
"306","92241","2013",1,3.92,21210.15,21210.15,8,6.431,0.125
"307","92260","2011",3,5.24333333333333,29956.42,29956.42,49,8.31802580414081,0.0612244897959184
"308","92260","2012",1,4.32,25522,25522,72,7.03795034232057,0.0138888888888889
"309","92260","2013",1,5.85,31501.41,31501.41,119,7.55833825372957,0.00840336134453781
"310","92260","2015",1,5.46,20144.74,20144.74,351,9.75612720063657,0.00284900284900285
"311","92260","2016",1,5.61,20760.23,20935.06,326,9.20233105896296,0.00306748466257669
"312","92262","2011",1,4.2,21802.59,21802.59,52,7.1686855134564,0.0192307692307692
"313","92262","2015",2,3.8025,18919.225,18919.225,410,7.96488769286918,0.0048780487804878
"314","92282","2011",1,6.48,33758.27,33758.27,1,6.48,1
"315","92282","2012",1,2.88,17500.43,17500.43,4,5.344,0.25
"316","92282","2013",1,4.165,17935.39,17935.39,1,4.165,1
"317","92284","2012",1,5.7,27180.53,27180.53,42,5.82558356497883,0.0238095238095238
"318","92301","2013",1,4,23585.08,23585.08,21,4.69513326429389,0.0476190476190476
