"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","medianinc","ed_LThighschool","ed_college","year","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","zip_code"
"29",39076,19399,2010,25839,33.7,590,10424,11939,11344,850,1208,1267,658,924,603,723,585,289,808,994,896,629,231,192,94,34597,9145,2820,2011,5.14382229501484,66.1249872044222,26.6762206981267,1.50987818609888,49.6442829358174,30.5532807861603,44.2728505034857,13.6522075910147,29.0306070222131,"90031"
"30",48729,24257,2991,39362,31.9,908,5148,11646,8432,812,858,800,829,747,831,891,792,590,1337,1246,1621,646,395,451,196,44759,7760,3790,2011,6.13802868928154,80.777360504012,10.5645508834575,1.86336678364013,49.7793921484126,23.8995259496398,32.8939002161841,16.065448688059,17.3038642286934,"90032"
"31",49102,24180,1049,45009,28.3,659,2284,20390,15571,1416,1656,1246,1067,1026,907,747,661,498,919,908,728,396,257,194,36,29524,11228,1648,2011,2.13636919066433,91.6642906602582,4.65154168872958,1.3421041912753,49.2444299621197,41.5258034295955,49.6418781501459,7.28623220443894,31.7115392448373,"90033"
"32",59662,30174,22854,17735,32.2,5213,11441,6441,8907,2170,1120,832,923,1229,1485,1005,1382,1196,2185,3085,3397,1800,1527,1479,1357,57577,5026,21231,2011,38.3057892796085,29.725788609165,19.1763601622473,8.73755489256143,50.5749052998559,10.7958164325701,12.7852255093994,54.0077840807916,14.9291006000469,"90034"
"33",29113,13559,20094,2877,37.5,3088,1921,861,2874,818,789,661,471,507,424,665,426,408,878,904,1809,953,787,1097,1632,70273,572,11599,2011,69.0207123965239,9.8821832171195,6.59842681963384,10.6069453508742,46.5736955999038,2.95744169271459,3.19018404907975,64.6904629113218,9.87187854223199,"90035"
"34",36124,17457,21855,3513,35.2,2442,6647,824,3873,1350,510,574,575,416,697,575,622,783,1549,1747,2707,1831,1181,1470,1710,72981,373,16926,2011,60.4999446351456,9.72483667367955,18.4005093566604,6.76004872107186,48.3252131546894,2.28103200088584,1.53776385224274,69.780672823219,10.7214040527073,"90036"
"35",60639,30147,772,45985,28.3,12835,499,25529,22352,1964,2226,1657,1257,1387,1222,1013,707,718,950,1360,837,638,207,95,43,28377,16621,1859,2011,1.27310806576626,75.834034202411,0.822902752354095,21.1662461452201,49.7155296096572,42.0999686670295,54.9436382268355,6.14525139664804,36.8607661735847,"90037"
"36",30498,15855,8233,17734,33.4,1563,2330,10292,7306,1156,1354,971,965,659,1057,721,589,701,964,1049,890,521,195,197,223,34723,5318,4929,2011,26.9952128008394,58.1480752836252,7.63984523575316,5.12492622467047,51.9870155420028,33.7464751787002,29.5526535148652,27.3909419283134,23.9556692242114,"90038"
"37",29262,15227,10829,12443,37.8,604,4656,4732,4117,717,530,563,795,500,517,258,498,384,859,1325,1368,1046,750,916,885,64533,2475,8293,2011,37.0070398469004,42.522725719363,15.9114209555054,2.06411045041351,52.0367712391498,16.1711434625111,13.7385512073272,46.0338606716625,14.0694415966099,"90039"
"38",12862,6544,308,12152,30.8,272,192,4529,1740,209,223,192,179,219,174,167,177,155,318,278,527,269,77,60,67,48610,2864,447,2011,2.39465090965635,94.4798631628052,1.49276939822734,2.11475664748873,50.8785569895817,35.2122531488105,46.6449511400651,7.28013029315961,13.5282226714352,"90040"
"39",28857,13389,8280,10893,38.3,850,8084,3131,3381,476,675,317,434,437,479,426,350,300,595,1020,1246,817,649,567,613,62700,1934,6269,2011,28.6932113525314,37.7482066742905,28.0140000693073,2.94555913643137,46.3977544443289,10.8500537131372,12.4645527197731,40.4034544985821,11.716394635617,"90041"
"40",63424,31455,9595,43257,34.9,1561,7940,15816,9726,1176,1083,927,1213,1226,898,1118,937,891,2036,2217,2548,1700,1047,935,477,53283,10609,9588,2011,15.1283425832492,68.2028884964682,12.5189202825429,2.46121342078708,49.5947906155399,24.9369323915237,29.4383706088018,26.6052500138742,15.3348890010091,"90042"
"41",44042,20290,1092,12103,38,28926,810,5492,9234,1579,1654,892,948,1081,871,791,649,623,1303,1462,1379,1204,609,599,675,42379,5043,4849,2011,2.47945143272331,27.4805867126833,1.8391535352618,65.6782162481268,46.0696607783479,12.469915081059,22.4402616473101,21.5770035153295,20.9663503019845,"90043"
"42",88164,41483,999,51019,28,34833,652,24326,27977,3455,3385,2551,1947,1805,1654,1372,1125,955,1640,2291,1596,1068,480,410,145,29459,17349,3629,2011,1.13311555737036,57.8682909123905,0.739530874279751,39.509323533415,47.0520847511456,27.5917608094007,41.4998205956225,8.68077981102739,31.7329068554058,"90044"
"43",40150,19564,20104,7078,34.6,6100,5203,1081,4496,903,621,621,420,522,574,527,432,538,855,1314,1793,1736,1189,1427,1830,80311,1027,11702,2011,50.0722291407223,17.6288916562889,12.958904109589,15.1930261519303,48.7272727272727,2.69240348692403,4.73774046224109,53.9834847995571,11.1980074719801,"90045"
"44",49212,25876,38248,4989,38,1758,2463,966,7585,2452,2261,1521,1435,1315,1325,956,1414,1222,2256,2189,2779,2174,1251,1313,2774,51929,1084,20192,2011,77.720881085914,10.1377712752987,5.00487685930261,3.57229943916118,52.580671380964,1.96293586930017,3.22015268989692,59.9827704007367,15.4129074209542,"90046"
"45",47550,21796,714,13668,36,32545,236,6182,9070,1528,1697,824,978,1078,740,802,841,692,1527,1629,1591,1342,478,557,190,43538,4641,3949,2011,1.50157728706625,28.7444794952681,0.496319663512093,68.4437434279706,45.8380651945321,13.0010515247108,19.5517546446476,16.6364747019421,19.074658254469,"90047"
"46",20931,9947,16993,1382,38.6,628,1373,204,1536,496,752,527,301,274,562,263,371,266,819,965,1498,1192,597,916,1663,77855,278,9768,2011,81.1858009650757,6.60264679183985,6.55964836844871,3.00033443218193,47.5228130524103,0.974630930199226,2.0015839873281,70.3290373677011,7.33839759208829,"90048"
"47",36451,16624,29419,2407,41,305,3296,392,2368,662,431,321,591,252,325,266,473,355,846,1160,1717,1605,1260,1785,4751,113158,366,16380,2011,80.7083481934652,6.60338536665661,9.04227593207319,0.836739732791967,45.6064305506022,1.07541631230968,1.72340726091256,77.1295380703489,6.49639241721763,"90049"
"48",8108,3604,1079,207,48.5,6360,114,38,364,75,70,129,119,79,70,91,87,170,76,392,661,435,313,444,412,91288,65,2614,2011,13.3078441045881,2.55303404045387,1.40601874691663,78.4410458806117,44.4499259990133,0.468672915638875,1.47626618214853,59.3686123097888,4.48939319190923,"90056"
"49",43808,23031,2206,30124,31.7,1872,9281,18645,15243,1342,2088,2221,1368,1585,1173,1007,970,566,1130,1000,555,328,85,78,49,27155,11616,3616,2011,5.03560993425858,68.763696128561,21.1856281957633,4.27319211102995,52.5725894813733,42.5607195032871,46.7726998188041,14.5600966378095,34.7950146092038,"90057"
"50",3484,1633,99,2744,26.1,494,168,1289,2024,197,253,211,89,27,41,57,31,85,41,36,4,5,16,1,0,16972,1086,140,2011,2.84156142365098,78.760045924225,4.82204362801378,14.1791044776119,46.8714121699196,36.9977037887486,67.4115456238361,8.69025450031037,58.0941446613088,"90058"
"51",40209,18494,360,24870,25,14338,159,10666,13590,1534,859,1053,622,468,691,727,549,352,729,672,803,477,126,174,55,32455,8440,1129,2011,0.895321942848616,61.8518242184586,0.395433858091472,35.6586833793429,45.9946778084508,26.5263995622871,47.5064730383879,6.35483507823933,33.7984033425353,"90059"
"52",26952,13144,447,16725,28.2,10086,9,7457,7690,853,647,613,439,646,487,353,485,256,902,586,504,156,124,138,26,34263,5259,672,2011,1.65850400712378,62.0547640249332,0.0333926981300089,37.4220837043633,48.7681804689819,27.6677055506085,42.4352457032196,5.42241587993222,28.5322054021965,"90061"
"53",30710,14111,459,18027,33.6,11437,365,9538,8101,878,1112,856,637,706,500,576,393,331,848,681,844,362,241,134,33,34051,6400,1439,2011,1.49462715727776,58.7007489417128,1.18853793552589,37.2419407359166,45.9492022142625,31.0582872028655,39.6997704857019,8.92624527014453,26.3790296320417,"90062"
"54",52883,26247,617,51364,30,199,640,22976,12880,865,1240,1081,1071,966,791,795,696,796,991,1401,1028,752,252,328,35,38691,12553,1689,2011,1.16672654728363,97.1276213527977,1.2102187848647,0.376302403418868,49.6322069474122,43.4468543766428,48.7381580990837,6.55769529430036,24.3556530454021,"90063"
"55",25633,12430,16133,3443,39.3,603,4895,745,2879,675,294,440,416,243,270,368,430,228,760,929,1087,967,609,1005,1855,79038,681,9529,2011,62.9383997191121,13.4319041860102,19.0964771973628,2.35243631256583,48.4921780517302,2.90640970623805,4.66278671687778,65.2447791852105,11.2316154956501,"90064"
"56",46844,24714,8019,30685,36,945,6589,12061,7857,750,955,776,684,743,793,588,686,598,1208,1499,1493,1154,1052,853,814,56090,7107,7354,2011,17.1185210485868,65.5046537443429,14.0658355392366,2.01733413030484,52.7580906839723,25.7471607890018,27.7184087363495,28.6817472698908,16.7726923405345,"90065"
"57",56210,28048,26350,17188,37.1,3034,8009,5580,6642,1448,846,1064,1004,939,880,1152,1003,800,2161,2466,2972,2144,1167,1795,2296,64445,4060,17891,2011,46.8777797544921,30.5781889343533,14.2483543853407,5.39761608254759,49.8985945561288,9.92705924212773,11.6599655370477,51.3813900057438,11.8164027753069,"90066"
"58",2468,1039,1818,162,60.9,4,428,33,196,83,71,67,41,27,25,66,15,13,54,132,147,117,86,110,408,94107,35,822,2011,73.6628849270665,6.56401944894651,17.3419773095624,0.162074554294976,42.0988654781199,1.33711507293355,3.24374420759963,76.1816496756256,7.94165316045381,"90067"
"59",22048,12241,16393,2098,39.2,1228,1444,141,2390,785,472,517,277,475,575,486,574,342,804,1003,1225,1345,602,966,1982,72821,241,10395,2011,74.3514150943396,9.5156023222061,6.54934687953556,5.56966618287373,55.5197750362845,0.639513788098694,1.53905102496967,66.3835493965132,10.8399854862119,"90068"
"60",19789,11361,15628,2359,43.2,494,723,279,2424,889,513,630,530,683,402,383,353,382,857,1089,1450,1443,937,912,1881,74262,403,9548,2011,78.9731669109101,11.9207640608419,3.65354489868109,2.49633634847643,57.4106827025115,1.40987417252009,2.68416144931397,63.5939789529772,12.2492293698519,"90069"
"61",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90071"
"62",560,416,170,109,56.9,189,78,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,113,27,2011,30.3571428571429,19.4642857142857,13.9285714285714,33.75,74.2857142857143,0,29.8153034300792,7.12401055408971,43.2142857142857,"90073"
"63",8571,4169,7418,298,46.8,208,432,78,274,43,8,95,71,45,8,9,28,32,112,137,196,329,233,398,1585,184338,26,3161,2011,86.5476607163692,3.4768405086921,5.04025201260063,2.42678800606697,48.6407653716019,0.910045502275114,0.620525059665871,75.4415274463007,3.19682650799207,"90077"
"64",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90079"
