"","year","county","zip_code","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share","county_medianinc","pop","med_age","pov","inc_under10","inc_over200","medianinc","ed_LThighschool","ed_college","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"29",2011,"Alameda","94607",9,3.20088888888889,18177.1844444444,19807.3133333333,13,3.20088888888889,0.692307692307692,70821,22745,36.6,6498,1443,273,34091,2914,4199,16.7157617058694,12.6665201143108,27.5664981314575,39.4812046603649,46.0101121125522,5.58364475708947,21.5660153937241,31.0760805210184,28.5689162453286,3.95691360738624,5.71554187733568,56656.8,2589,3416,3970,4521,5073,5594,5877,6201,6724,7377,8454,8996,9404,9641,9914,6549.15064,0.660596191244704
"30",2011,"Alameda","94608",3,2.87,12995,19957.94,11,2.87,0.272727272727273,70821,25847,34.8,4273,955,713,52934,1301,9299,30.6650675126707,10.446086586451,19.6695941501915,34.4914303400781,49.1546407706891,4.01593995434673,7.55955839628123,54.0325392213829,16.5318992532983,1.16067628738345,4.25581305373931,56656.8,1879,2757,3406,4185,4609,5217,5461,6061,6889,8200,9742,10588,11276,11922,12635,6612.18304,0.523322757419865
"31",2011,"Alameda","94609",1,1.84,10752,12520.93,9,1.84,0.111111111111111,70821,20728,34.3,3791,825,391,47049,880,7498,39.4008104978773,10.6281358548823,8.89135468930915,37.0995754534929,46.8159011964492,1.90563489000386,6.49590315198937,55.3480475382003,18.2892705519105,0.482439212659205,4.34195291393284,56656.8,1723,2142,2636,3225,3788,4104,4628,5091,5819,6657,7806,8436,8803,9306,9697,5575.61504,0.57498350417655
"32",2011,"Alameda","94610",0,0,0,0,17,0,0,70821,30242,38.8,2436,544,1811,71656,560,14075,52.1096488327492,9.5595529396204,14.5989021890087,18.2626810396138,46.6371271741287,1.0449044375372,2.75238376093581,69.1782168485206,8.05502281595133,0,5.62132134118114,56656.8,1012,1333,2106,2583,3185,3874,4500,5106,6419,8080,9784,11432,12288,13540,15351,5980.03784,0.389553634290926
"33",2011,"Alameda","94611",0,0,0,0,58,0,0,70821,37192,42.6,2736,568,3746,100667,535,17540,66.500860400086,6.04699935469994,15.8232953323295,6.50408690040869,48.6045386104539,0.516240051624005,2.31661903524725,75.950463323807,7.35642073564207,0,15.5947515594752,56656.8,1298,1919,2375,2649,3201,3610,4030,4481,5367,6369,8399,10183,11328,13140,16886,5070.79248,0.30029565794149
"34",2011,"Alameda","94612",0,0,0,0,2,0,0,70821,12492,39.8,3319,1056,218,26213,1083,2676,25.6003842459174,14.4572526416907,30.8597502401537,25.4562920268972,49.9279538904899,5.72366314441242,14.3824701195219,35.5378486055777,26.5690041626641,0,1.6010246557797,56656.8,2440,3095,3658,3964,4252,4509,4652,5049,5685,6308,6641,6970,7097,7297,7515,5472.37248,0.72819327744511
"35",2011,"Alameda","94618",0,0,0,0,24,0,0,70821,16753,42.2,836,286,2127,113523,119,8804,70.2918880200561,7.78368053482958,9.47293022145287,6.03474004655883,47.6392287948427,0.364113890049543,1.14423076923077,84.6538461538462,4.99015101772817,0,14.3257923953919,56656.8,455,606,683,851,1057,1309,1550,1744,2192,2522,3311,4092,4649,5405,7532,2042.22464,0.271139755708975
"36",2011,"Alameda","94619",0,0,0,0,26,0,0,70821,23581,40.2,3083,361,971,73938,1925,5921,32.5049828251558,16.0552987574742,21.3604172851024,26.1693736482762,49.2260718374963,5.11004622365464,13.9240506329114,42.8282097649186,13.0740850684873,0,11.0258258767652,56656.8,754,1128,1513,1875,2135,2448,2822,3055,3854,4513,5907,6735,7292,7925,8896,3586.87832,0.40320125
"37",2011,"Alameda","94621",0,0,0,0,6,0,0,70821,30509,28.2,8674,1085,20,32628,5778,985,2.1665737978957,51.2733947359796,5.71306827493527,37.7396833721197,49.8377527942574,26.5921531351404,40.1500938086304,6.84455562504343,28.4309548002229,0,1.96663279687961,56656.8,1967,2757,3439,4034,4687,5130,5534,5975,6615,7238,8142,8483,8615,8667,8687,6401.0352,0.736852215954875
"38",2011,"Alameda","94702",0,0,0,0,19,0,0,70821,15994,40.3,2006,623,457,55581,719,5685,40.2588470676504,13.1799424784294,18.281855695886,24.2215830936601,48.2868575715894,4.17031386770039,7.36076986076986,58.2002457002457,12.5422033262473,0,11.8794547955483,56656.8,1266,1521,1863,2148,2553,2777,3028,3363,3786,4392,5232,5951,6326,6692,7149,3644.58264,0.509803138900546
