"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","ed_LThighschool","ed_college","year","county","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate"
"29",98392,48867,85453,8185,47.3,522,1370,1887,10072,2105,2325,1933,2110,2118,1720,1830,1855,1951,3385,4483,5823,3845,2141,2094,1843,2431,17325,2011,"Nevada",58077,86.849540613058,8.31876575331328,1.39238962517278,0.530530937474591,49.6656232214001,1.91783884868689,4.53155873690489,32.2950452969467,10.2366046020002
"30",2989948,1479611,1339135,994279,36,49513,532499,367687,320473,38785,32854,33259,36128,36488,36093,36561,37612,35070,70558,95390,133367,106162,73758,87624,97455,260637,601127,2011,"Orange",75762,44.7879026658658,33.2540565922886,17.809640836563,1.65598197694408,49.4861783549413,12.2974379487536,16.1819697851133,37.3217116181349,10.7183469411508
"31",343554,167829,262970,43268,40,4587,20515,8602,24576,4905,4427,4751,4954,4893,5097,5480,5221,3778,9866,12304,18977,15130,10242,11401,9310,9567,66535,2011,"Placer",74645,76.5440076378095,12.5942355495788,5.97140478643823,1.33516128468887,48.8508356764875,2.50382763699448,5.29581737262804,36.8304807032305,7.15346059134809
"32",20192,10230,17254,1617,49,274,208,354,2680,738,925,532,282,708,552,443,630,480,854,780,1101,608,333,230,238,907,2244,2011,"Plumas",44151,85.4496830427892,8.00812202852615,1.03011093502377,1.35697305863708,50.6636291600634,1.75316957210777,8.18444324129219,20.2490525175961,13.2725832012678
"33",2154844,1073455,867229,968700,33.5,135859,127522,279941,301763,32663,33424,32019,36126,33241,34747,30532,31524,26901,53329,71039,90458,61899,38438,37604,28952,220009,216150,2011,"Riverside",58365,40.2455583791681,44.954530351153,5.91792259671698,6.30481835343997,49.8159031465851,12.9912420574297,20.6807252245647,20.317981342989,14.0039371759626
"34",1408480,690157,690766,298709,34.7,144018,201766,76469,205715,26016,28242,23945,24641,24897,26691,25124,24443,20934,43223,55545,67741,44601,27417,27790,19726,100444,213407,2011,"Sacramento",56553,49.0433658979893,21.2078978757242,14.3250880381688,10.2250653186414,49.0001277973418,5.42918607292968,13.4225102729429,28.5179567701199,14.6054612064069
"35",54873,27417,21175,30497,33.9,728,1336,9823,6179,711,795,633,761,493,896,602,668,522,1456,1794,2409,1852,1060,1288,845,6624,5415,2011,"San Benito",65570,38.5891057532849,55.5774242341407,2.43471288247408,1.32669983416252,49.9644633972992,17.9013358117836,23.3560170656888,19.0931208349494,11.2605470814426
"36",2023452,1007191,685741,984022,31.4,176209,126991,277116,317059,33204,31092,29048,30107,29586,30123,29247,28385,26314,51958,62867,81614,53084,31643,30672,19878,214401,194230,2011,"San Bernardino",55853,33.8896598486151,48.6308545989724,6.27595811514185,8.70833605146057,49.7758780539395,13.6952099679162,20.9872168476447,19.0127244197463,15.6692128105831
"37",3060849,1536200,1500123,967858,34.6,154076,333314,316219,387565,56376,47321,43228,46431,46520,47479,46249,46002,43392,80208,104688,143947,100645,67871,74629,69062,223308,574345,2011,"San Diego",63857,49.0100295702271,31.620573246181,10.8895930508169,5.03376677516597,50.1886894779847,10.3310878779058,13.6792325692513,35.1827916151085,12.6620097887874
"38",797983,404490,334808,119029,38.4,49260,267289,39628,96801,21561,20258,14301,13851,12113,11749,10424,11816,9425,20404,26856,37965,32749,22488,29848,42558,55393,282446,2011,"San Francisco",72947,41.9567835405015,14.91623255132,33.4955757202848,6.17306383719954,50.6890497667244,4.96602057938578,10.9307075271576,55.7351040423076,12.1307095514566
"39",680277,339095,248594,260636,32.5,50400,97902,77443,110748,10973,12192,11629,11074,10227,11553,11492,9767,9942,17703,21514,26905,18835,10780,10902,7414,73534,60908,2011,"San Joaquin",53764,36.5430552554327,38.3132165279732,14.3914905251831,7.408746731111,49.8466066028985,11.3840391487585,21.6807010095292,17.9580620813284,16.279838947958
"40",267871,137401,191177,54537,39.1,5882,8693,14205,33330,5901,5260,4988,4961,5061,5129,4463,4531,3801,7766,10706,13257,9366,6051,5802,4950,15226,41521,2011,"San Luis Obispo",58630,71.3690545075801,20.35942673899,3.24521878068175,2.19583306890257,51.2937197382322,5.30292566197909,11.2171151990217,30.5888506619321,12.4425563050871
"41",711622,349833,306965,177003,39.2,20507,175098,65028,48891,8047,6828,6972,7026,8107,7843,8243,8187,7730,17233,24058,32464,27597,20822,26687,38579,41949,186903,2011,"San Mateo",87633,43.1359626318467,24.8731770518618,24.6054787513596,2.8817265345928,49.1599472753793,9.13799741997858,10.3905143117575,46.2947459155264,6.87036095005494
"42",419793,210649,205066,175692,33.4,7752,20905,64074,57170,7114,6315,6584,6379,6110,6735,5681,6646,5785,11573,14790,17141,12784,9038,9446,9514,41945,63995,2011,"Santa Barbara",61896,48.8493138284821,41.8520556560019,4.9798352997787,1.84662440774382,50.1792550137806,15.2632368810342,20.5641978516554,31.374558147972,13.6186167944677
"43",1762754,885307,632114,468262,36,45219,560362,140809,160396,22776,18722,18281,19278,18917,17365,17563,20080,16102,34273,50323,75974,64644,49986,67269,88099,118693,469880,2011,"Santa Clara",89064,35.8594562826123,26.5642284743078,31.7890074281494,2.56524733456852,50.2229465937958,7.98801194040689,12.0127806521088,47.5560089711514,9.09917095635579
"44",259402,129383,156125,81507,36.7,2558,10816,31509,34382,5061,4903,3630,4079,3701,4262,3851,3648,2947,6639,9207,12568,8744,5687,7402,7505,21745,53394,2011,"Santa Cruz",66030,60.1865058866161,31.4211147176969,4.1695900571314,0.986114216544206,49.8774103515008,12.1467837564861,15.6956013338915,38.5399373475192,13.2543311154116
"45",177231,87182,146558,14622,41.6,1650,4609,2500,30023,4747,6151,4294,4305,3998,4309,3841,3573,3154,5701,7373,7437,4007,2090,2298,1869,10536,18793,2011,"Shasta",44058,82.6932082987739,8.25024967415407,2.60056084996417,0.930988371108892,49.1911685878881,1.41058844107408,11.5005512318121,20.5134642463406,16.9400387065468
"46",3277,1575,2968,247,51.5,38,3,113,540,115,154,56,17,109,29,86,50,40,124,119,197,162,32,24,14,149,384,2011,"Sierra",50308,90.570643881599,7.53738175160207,0.091547146780592,1.15959719255417,48.0622520598108,3.44827586206897,8.13318777292576,20.9606986899563,16.4784864205066
"47",44687,22245,35688,4544,46.9,519,588,876,8085,1501,2393,1667,1430,1145,1056,1295,1079,845,1756,1666,1973,895,430,412,239,2241,5396,2011,"Siskiyou",37865,79.862152303802,10.1685053818784,1.31581891825363,1.16141159621366,49.7795779533198,1.9603016537248,9.55080122741221,22.9969314694852,18.0925101259874
"48",411620,205762,169645,97268,36.7,60130,59143,27500,42525,6341,5043,4716,5296,5329,5449,5099,5434,5648,11074,15906,20769,15139,10017,10709,7343,27903,55181,2011,"Solano",69914,41.2139837714397,23.6305330158884,14.3683494485205,14.6081337155629,49.9883387590496,6.68091929449492,12.4989921251377,24.7180190107596,10.3311306544871
"49",478551,235316,320066,116222,39.7,7161,19249,40753,50592,7866,7747,8196,8798,7563,8004,7915,8840,7255,13912,19722,25234,17727,12074,11930,11387,36230,81695,2011,"Sonoma",64343,66.8823176631122,24.2862307256698,4.0223508048254,1.49639223405656,49.1726064724554,8.51591575401577,13.8654481299058,31.2651886550554,10.5719139652827
"50",512469,253770,242716,211811,32.6,14691,26718,62023,91291,9773,10422,10227,9440,9344,8379,8596,7718,7458,13643,17428,21003,12443,8221,6399,4439,58473,43618,2011,"Stanislaus",50671,47.3620843407113,41.3314756599911,5.21358365091352,2.86670998636015,49.5190928622024,12.1027808511344,22.745325330543,16.9669009674144,17.8139555758495
"51",94192,46861,48205,26642,34.4,1800,13029,10421,14125,1295,1997,2202,1750,1673,1836,1678,1872,1528,2865,3179,3846,2661,1218,1261,807,9622,9213,2011,"Sutter",50010,51.1773823679293,28.2847800237812,13.8323849159164,1.91099031764906,49.750509597418,11.0635722779005,20.3321781759784,19.4679232524723,14.9959656871072
