"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"3125","09183","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","2/10/2015","5/5/2015","7/23/2015","8/14/2015",27162.59,27162.59,"$6.50 AC",5.58,4.825,0.8906,"Visalia","Tulare","CA","93292","GRID Alternatives","no"
"3126","09184","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/26/2012","4/19/2013","6/24/2013","7/9/2013",19829.93,19829.93,"$7.00 AC",4.4,3.827,0.9894,"Tulare","Tulare","CA","93274","","no"
"3127","09185","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/7/2013","11/22/2013","1/23/2014","1/31/2014",22458,24178.35,"$4.75 AC",5.5,4.728,0.99348,"Napa","Napa","CA","94558","GRID Alternatives","no"
"3128","09186","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/1/2012","5/23/2013","7/18/2013","7/19/2013",16950,16950,"$6 AC",3.185,2.825,0.9747,"El Cajon","San Diego","CA","92101","GRID Alternatives","no"
"3129","09187","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","2/4/2013","2/7/2013","4/30/2013","6/14/2013",10966.88,10966.88,"$7 AC",2.35,2.038,0.92964,"Chico","Butte","CA","95928","","no"
"3130","09188","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","1/31/2013","2/8/2013","3/25/2013","4/12/2013",10966.88,10966.88,"$7 AC",2.35,2.038,0.9595,"Chico","Butte","CA","95928","","no"
"3131","09190","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/29/2012","10/14/2013","1/31/2013","2/19/2013",15451.64,15451.64,"$7 AC",3.185,2.766,1,"San Diego","San Diego","CA","92114","","no"
"3132","09192","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/29/2012","1/29/2013","4/17/2013","5/2/2013",13394.18,13394.18,"$7.00 AC",3.08,2.679,1,"Goshen","Tulare","CA","93227","","no"
"3133","09193","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/29/2012","3/1/2013","9/30/2013","11/14/2013",30534.38,30534.38,"$6.50 AC",5.52,4.775,0.93519,"Strathmore","Tulare","CA","93267","GRID Alternatives","no"
"3134","09194","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/5/2012","1/29/2013","5/30/2013","6/24/2013",15048,17287.49,"$6 AC",2.88,2.508,0.91337,"Long Beach","Los Angeles","CA","90505","","no"
"3135","09195","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/31/2012","11/30/2012","1/31/2013","3/5/2013",14153.28,14153.28,"$7 AC",2.35,2.038,0.9953,"Long Beach","Los Angeles","CA","90805","","no"
"3136","09197","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/29/2012","3/20/2013","7/31/2013","9/20/2013",28896,28896,"$6.00 AC",5.52,4.816,0.9839,"Madera","Madera","CA","93637","GRID Alternatives","no"
"3137","09199","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/2/2012","2/5/2013","4/22/2013","4/26/2013",17180.75,20356.25,"$4.75 AC",4.165,3.617,0.9834,"Greenfield","Monterey","CA","93927","","no"
"3138","09200","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/25/2012","10/22/2013","1/31/2014","2/28/2014",30378.02,30378.02,"$7 AC",5.355,4.679,0.9069,"Greenfield","Monterey","CA","93927","GRID Alternatives","no"
"3139","09201","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/30/2012","1/18/2013","2/28/2013","4/5/2013",17394.19,17394.19,"$7 AC",3.6,3.128,0.94997,"Lindsay","Tulare","CA","93247","","no"
"3140","09206","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","1/16/2013","10/25/2013","5/27/2014","6/24/2014",21630,22214.81,"$7 AC",3.64,3.09,0.9766,"San Bernardino","San Bernardino","CA","92404","","no"
"3141","09207","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","7/31/2013","1/6/2014","2/28/2014","3/28/2014",27485,27485,"$5.75 AC",5.5,4.78,0.9884,"Hesperia","San Bernardino","CA","92345","GRID Alternatives","no"
"3142","09210","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/1/2012","2/8/2013","4/30/2013","5/10/2013",9189.54,9189.54,"Subsidized 1kW AC",1.225,1.064,0.93,"San Diego","San Diego","CA","92114","","no"
"3143","09212","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/2/2012","3/4/2013","6/30/2013","7/24/2013",19181.74,19181.74,"$6 AC",4.41,3.829,0.9455,"Los Angeles","Los Angeles","CA","90061","","no"
"3144","09213","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2012","12/22/2012","2/28/2013","3/8/2013",16516.5,17330.69,"$6.5 AC",2.925,2.541,0.98686,"Nipomo","San Luis Obispo","CA","93444","","no"
"3145","09217","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/31/2012","2/11/2013","3/25/2013","3/29/2013",19887.1,19887.1,"$7 AC",3.36,2.929,0.9481,"San Diego","San Diego","CA","92105","GRID Alternatives","no"
"3146","09218","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/10/2012","6/24/2013","9/30/2013","10/17/2013",5139.5,10479.05,"$4.75 AC",1.225,1.082,0.9839,"San Francisco","San Francisco","CA","94124","GRID Alternatives","no"
"3147","09219","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/1/2012","12/3/2012","2/28/2013","4/22/2013",19361.1,19361.1,"$7 AC",3.29,2.854,0.95527,"Long Beach","Los Angeles","CA","90805","","no"
"3148","09220","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/31/2012","5/29/2013","8/26/2013","9/11/2013",19979.53,19979.53,"$7 AC",3.525,3.08,0.9952,"La Puente","Los Angeles","CA","91744","","no"
"3149","09227","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/8/2012","1/4/2013","1/31/2013","3/5/2013",13217.39,13217.39,"$6.5 AC",2.35,2.038,0.9953,"Long Beach","Los Angeles","CA","90805","","no"
"3150","09229","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/2/2012","1/17/2013","3/26/2013","5/1/2013",17051.27,17051.27,"$6 AC",3.29,2.853,0.95997,"Long Beach","Los Angeles","CA","90806","","no"
"3151","09237","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","1/22/2013","8/9/2013","10/27/2013","11/7/2013",14142.94,14142.94,"$6.5 AC",2.88,2.518,0.99339,"Hanford","Kings","CA","93230","","no"
"3152","09240","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/30/2012","3/28/2013","4/30/2013","5/14/2013",16869.05,16869.05,"$7 AC",3.43,3.015,0.955,"Castroville","Monterey","CA","95012","","no"
"3153","09241","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/17/2012","4/4/2013","5/24/2013","6/3/2013",11063,12128.33,"$6.50 AC",1.96,1.702,0.9728,"San Francisco","San Francisco","CA","94124","","no"
"3154","09242","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/3/2014","2/10/2015","3/30/2015","4/30/2015",8466.94,14714.44,"$7.00 AC",3.57,3.119,0.9732,"Woodlake","Tulare","CA","93286","","no"
"3155","09245","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/2/2012","11/28/2012","12/31/2012","1/29/2013",8330,10482.56,"$7 AC",1.38,1.19,0.96249,"Castroville","Monterey","CA","95012","","no"
"3156","09246","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/9/2012","1/3/2013","6/24/2013","7/9/2013",13658.44,13658.44,"$7 AC",2.35,1.964,0.98435,"Long Beach","Los Angeles","CA","90805","","no"
"3157","09248","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/7/2012","4/23/2013","8/31/2013","9/19/2013",29547.02,29547.02,"$7 AC",4.8,4.222,0.9512,"Los Angeles","Los Angeles","CA","90059","","no"
