"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"1607","04796","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/20/2011","2/23/2012","4/30/2012","5/21/2012",24813.15,24813.15,"$7 AC",6.44,5.553,1,"Oroville","Butte","CA","95965","","no"
"1608","04799","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/31/2011","9/4/2012","12/31/2012","1/29/2013",21755,21755,"$4.75 AC",5.39,4.58,0.9007,"Fresno","Fresno","CA","93704","GRID Alternatives","no"
"1609","04805","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/27/2011","7/13/2012","9/12/2012","10/15/2012",13185.46,13185.46,"$4.75 AC",3.22,2.777,0.85,"Oroville","Butte","CA","95965","","no"
"1610","04808","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/5/2011","2/14/2012","3/31/2012","4/11/2012",14969.5,14969.5,"$6.5 AC",2.64,2.303,0.99016,"Porterville","Tulare","CA","93257","GRID Alternatives","no"
"1611","04812","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/25/2011","11/22/2011","2/22/2012","3/7/2012",16394.54,16394.54,"$6.5 AC",3.68,3.107,0.97404,"Chico","Butte","CA","95973","","no"
"1612","04813","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","7/27/2011","11/17/2011","1/31/2012","2/22/2012",19403.33,19403.33,"$7 AC",3.91,3.371,0.96541,"Cathedral City","Riverside","CA","92234","","no"
"1613","04814","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/2/2011","11/9/2011","1/24/2012","2/3/2012",14105,15139.59,"$6.5 AC",2.53,2.17,0.98792,"Arroyo Grande","San Luis Obispo","CA","93420","","no"
"1614","04816","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/17/2011","6/7/2012","9/12/2012","9/24/2012",30920.04,30920.04,"$6 AC",5.886,5.208,0.95757,"San Jose","Santa Clara","CA","95122","GRID Alternatives","no"
"1615","04826","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/15/2011","9/1/2011","11/30/2011","12/15/2011",21144.3,21144.3,"$7 AC",3.91,3.372,0.91572,"Paso Robles","San Luis Obispo","CA","93446","","no"
"1616","04832","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/13/2011","12/6/2012","1/31/2013","2/25/2013",29828.57,29828.57,"$7 AC",4.928,4.33,0.96,"Bayside","Humboldt","CA","95524","GRID Alternatives","no"
"1617","04835","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/17/2011","2/1/2013","4/22/2013","8/5/2013",13007.23,13007.23,"$7 AC",2.2,1.891,0.89663,"Fresno","Fresno","CA","93704","GRID Alternatives","no"
"1618","04836","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/8/2012","3/27/2013","7/31/2013","8/26/2013",24966.97,24966.97,"$7 AC",4.32,3.769,0.99251,"Visalia","Tulare","CA","93277","GRID Alternatives","no"
"1619","04840","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/8/2011","6/11/2012","9/20/2012","10/9/2012",16917,16917,"$6 AC",4.14,3.589,0.89571,"Oroville","Butte","CA","95965","","no"
"1620","04847","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/24/2012","10/24/2012","1/31/2013","2/25/2013",36908.26,36908.26,"$7 AC",6.5,5.652,0.92633,"Clearlake","Lake","CA","95422","GRID Alternatives","no"
"1621","04848","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/24/2011","11/29/2011","12/31/2011","1/13/2012",31015.76,31015.76,"$6 AC",6.9,5.95,0.94415,"San Diego","San Diego","CA","92115","","no"
"1622","04849","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/4/2011","2/16/2012","4/30/2012","5/18/2012",18046,19346.24,"$7.00 AC",2.99,2.578,0.9818,"Richmond","Contra Costa","CA","94530","","no"
"1623","04850","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/9/2011","1/23/2012","3/31/2012","4/16/2012",19549.99,19549.99,"$7 AC",3.36,2.925,0.96672,"Red Bluff","Tehama","CA","96080","GRID Alternatives","no"
"1624","04851","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/11/2011","3/14/2012","6/27/2012","7/2/2012",31591,31591,"$7.00 AC",5.17,4.513,0.98854,"Pauma Valley","San Diego","CA","92061","GRID Alternatives","no"
"1625","04853","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/9/2011","12/5/2011","2/12/2012","2/22/2012",41286,41286,"$7 AC",7.04,5.898,0.94468,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1626","04855","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/17/2011","4/5/2012","7/31/2012","8/14/2012",25872,27351.15,"$7 AC",4.2,3.696,0.9971,"San Jose","Santa Clara","CA","95122","","no"
"1627","04856","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/26/2011","2/16/2012","3/13/2012","3/16/2012",23292.5,23292.5,"$7 AC",3.91,3.371,0.9814,"San Diego","San Diego","CA","92105","","no"
"1628","04857","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/19/2011","1/10/2012","3/13/2012","3/16/2012",13881,14193.61,"$7 AC",2.3,1.983,0.9707,"San Diego","San Diego","CA","92105","","no"
"1629","04861","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/12/2011","12/5/2011","1/24/2012","2/3/2012",16529.03,16529.03,"$7 AC",3.22,2.762,0.93206,"Fresno","Fresno","CA","93706","","no"
"1630","04862","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/12/2011","8/3/2012","10/31/2012","11/21/2012",16835.98,16835.98,"$7 AC",3.96,3.426,0.96113,"Firebaugh","Fresno","CA","93622","","no"
"1631","04866","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/12/2011","11/29/2011","12/28/2011","1/6/2012",19439,22100.21,"$7 AC",3.22,2.777,0.93794,"San Diego","San Diego","CA","92105","","no"
"1632","04867","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/19/2011","2/14/2012","6/18/2012","6/22/2012",10000,10000,"Subsidized 1kW AC",1.175,1.02,0.9231,"San Diego","San Diego","CA","92115","GRID Alternatives","no"
"1633","04876","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","1/4/2012","4/4/2012","7/31/2012","8/17/2012",9522,10926.06,"$6 AC",1.84,1.587,0.96,"Loma Linda","San Bernardino","CA","92354","","no"
"1634","04877","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","2/10/2015","6/12/2015","10/26/2015","11/27/2015",26716.2,26716.2,"$7.00 AC",4.96,4.4,0.8955,"Kerman","Fresno","CA","93630","GRID Alternatives","no"
"1635","04878","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/19/2011","10/11/2011","12/23/2011","1/11/2012",23234,23234,"$6.5 AC",4.23,3.681,0.9987,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1636","04879","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/16/2011","2/23/2012","4/30/2012","8/23/2012",15449,15449,"$7 AC",2.585,2.207,0.93378,"Porterville","Tulare","CA","93257","GRID Alternatives","no"
"1637","04882","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/9/2011","1/11/2012","3/18/2012","4/3/2012",23879.08,23879.08,"$7 AC",5.06,4.363,0.97954,"Desert Hot Springs","Riverside","CA","92240","","no"
"1638","04890","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/6/2012","7/20/2012","10/31/2012","12/7/2012",21948,21948,"$6 AC",4.23,3.658,0.90686,"Clovis","Fresno","CA","93612","GRID Alternatives","no"
"1639","04892","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/12/2011","9/4/2011","11/17/2011","12/8/2011",30793,33098.49,"$7 AC",5.06,4.399,0.9451,"Long Beach","Los Angeles","CA","90813","","no"
"1640","04895","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/12/2011","3/12/2012","5/31/2012","6/18/2012",16216.53,16216.53,"$7 AC",2.99,2.578,0.978,"Orland","Glenn","CA","95963","","no"
"1641","04896","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/3/2011","4/9/2012","6/27/2012","7/2/2012",39186,39186,"$6.00 AC",7,6.531,0.9222,"Pauma Valley","San Diego","CA","92066","GRID Alternatives","no"
"1642","04899","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/2/2011","4/19/2012","6/30/2012","7/13/2012",37225.24,37225.24,"$7.00 AC",6.272,5.368,0.99345,"Pauma Valley","San Diego","CA","92061","GRID Alternatives","no"
"1643","04908","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2011","7/16/2012","9/20/2012","10/9/2012",16805.83,16805.83,"$7 AC",2.88,2.513,0.9962,"Fresno","Fresno","CA","93726","GRID Alternatives","no"
"1644","04912","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2011","11/3/2011","3/18/2012","4/3/2012",6539.46,6539.46,"$6 AC",1.33,1.148,0.98901,"Oxnard","Ventura","CA","93030","GRID Alternatives","no"
"1645","04917","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/30/2011","3/5/2012","6/27/2012","7/24/2012",43792.81,43792.81,"$6.5 AC",7.82,6.922,0.96407,"Cathedral City","Riverside","CA","92234","GRID Alternatives","no"
"1646","04918","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/31/2011","10/15/2011","12/31/2011","1/27/2012",15134.25,15134.25,"$7 AC",2.76,2.368,0.96,"Hemet","Riverside","CA","92543","","no"
"1647","04920","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/19/2011","9/2/2011","11/17/2011","12/8/2011",18991.35,18991.35,"$6 AC",3.68,3.19,0.9962,"Compton","Los Angeles","CA","90220","","no"
"1648","04922","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/16/2011","10/11/2011","12/23/2011","1/11/2012",45630.96,45630.96,"$7 AC",7.755,6.713,0.98727,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1649","04926","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/16/2011","12/5/2011","2/12/2012","2/22/2012",24514,24514,"$7 AC",4.18,3.502,0.99649,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1650","04927","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/17/2011","4/5/2012","7/25/2012","8/2/2012",27167,28072.09,"$7 AC",4.41,3.881,0.9499,"San Jose","Santa Clara","CA","95122","","no"
"1651","04928","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/23/2011","3/14/2012","9/30/2012","10/25/2012",23580.74,23580.74,"$7 AC",3.91,3.461,0.91158,"Moreno Valley","Riverside","CA","92551","GRID Alternatives","no"
"1652","04931","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/26/2011","11/17/2011","1/24/2012","2/13/2012",12336.87,12336.87,"$6.5 AC",2.3,1.932,0.97823,"Los Angeles","Los Angeles","CA","90002","GRID Alternatives","no"
"1653","04935","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/9/2011","3/24/2012","7/17/2012","7/24/2012",31933.58,31933.58,"$7 AC",5.7,4.922,0.94217,"Kingsburg","Fresno","CA","93631","GRID Alternatives","no"
"1654","04936","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2011","12/5/2011","2/12/2012","2/22/2012",15484,15484,"$7 AC",2.64,2.212,0.9596,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1655","04937","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2011","1/23/2012","6/14/2012","6/27/2012",20946.89,20946.89,"$7 AC",3.6,3.134,0.99418,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1656","04940","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/24/2011","4/9/2012","11/30/2012","12/28/2012",42800.86,42800.86,"$7 AC",7.6,6.597,0.931,"Hanford","Kings","CA","93230","GRID Alternatives","no"
"1657","04945","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/30/2011","3/22/2012","6/27/2012","7/2/2012",20928,20928,"$6.00 AC",3.995,3.488,0.97765,"Pauma Valley","San Diego","CA","92061","GRID Alternatives","no"
"1658","04946","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/12/2011","3/12/2012","6/30/2012","7/12/2012",32079.46,32079.46,"$7 AC",5.28,4.597,0.93871,"McKinleyville","Humboldt","CA","95519","GRID Alternatives","no"
"1659","04951","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/8/2012","12/7/2012","2/28/2013","5/1/2013",22667.46,22667.46,"$7.00 AC",3.92,3.31,0.94677,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1660","04952","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","12/13/2013","3/4/2014","5/27/2014","6/24/2014",15664.66,15664.66,"$7.00 AC",3.5,3.047,0.98543,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1661","04954","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2012","12/10/2012","2/28/2013","3/22/2013",21300.91,21300.91,"$7.00 AC",3.6,3.099,0.97331,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1662","04955","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","12/13/2013","2/28/2014","6/30/2014","7/29/2014",17217.62,17217.62,"$6.00 AC",3.5,3.047,0.97772,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1663","04956","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","1/24/2014","2/26/2014","5/26/2014","6/24/2014",13426.85,13426.85,"$6 AC",3.5,3.047,0.9708,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1664","04968","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/15/2013","2/28/2014","5/27/2014","6/24/2014",17217.62,17217.62,"$7.00 AC",3.5,3.047,0.98525,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1665","04969","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/12/2011","12/10/2012","2/28/2013","3/22/2013",21300.91,21300.91,"$7 AC",3.6,3.099,0.9501,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1666","04970","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","3/8/2016","5/6/2016","6/24/2016","7/6/2016",14151.91,14151.91,"$7.00 AC",3.18,2.798,0.9996,"Palm Desert","Riverside","CA","92211","","no"
"1667","04972","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/8/2012","12/6/2012","5/28/2013","6/17/2013",19117.79,19117.79,"$6.50 AC",3.43,2.98,0.9683,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1668","04973","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/18/2012","12/7/2012","2/28/2013","5/1/2013",16750.74,16750.74,"$6.00 AC",3.33,2.874,0.995,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1669","04976","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2012","12/6/2012","2/28/2013","5/2/2013",14656.9,14656.9,"$5.25 AC",3.33,2.874,0.9151,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1670","04977","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/26/2013","3/4/2014","6/30/2014","7/29/2014",11683.39,11683.39,"$4.75 AC",3.5,3.047,0.97803,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1671","04978","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/20/2012","12/10/2012","3/31/2013","5/1/2013",22507.23,22507.23,"$7.00 AC",3.92,3.31,1,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1672","04979","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/4/2012","12/7/2012","2/28/2013","4/5/2013",13384.14,13384.14,"$6.50 AC",2.45,2.097,0.99,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1673","04984","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/4/2011","10/17/2011","1/31/2012","2/22/2012",21462,21462,"$7 AC",3.44,3.066,0.95823,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1674","04986","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/19/2011","10/20/2011","1/31/2012","2/23/2012",17340.9,17340.9,"$6 AC",3.36,2.915,0.98361,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1675","04989","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/15/2013","2/28/2014","5/27/2014","6/24/2014",14065.03,14065.03,"$6.00 AC",3.5,3.047,0.98769,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1676","04998","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","12/19/2013","3/5/2014","6/11/2014","6/26/2014",17217.62,17217.62,"$7.00 AC",3.5,3.047,0.98995,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1677","05000","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/18/2012","12/12/2012","3/31/2013","4/22/2013",18062.13,18062.13,"$6.00 AC",3.6,3.099,0.99801,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1678","05007","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/15/2013","2/28/2014","5/27/2014","6/24/2014",15237.12,15237.12,"$6.50 AC",3.5,3.047,0.97057,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1679","05010","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/17/2011","10/24/2011","1/31/2012","2/23/2012",16096.5,16096.5,"$5.25 AC",3.44,3.066,0.96789,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1680","05019","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/22/2013","3/4/2014","6/11/2014","6/26/2014",15987.79,15987.79,"$6.50 AC",3.5,3.047,0.98354,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1681","05020","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/1/2011","10/20/2011","3/18/2012","4/3/2012",18396,18396,"$6 AC",3.44,3.066,0.99114,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1682","05021","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2011","10/20/2011","1/31/2012","2/22/2012",20231.04,20231.04,"$7 AC",3.36,2.915,0.98361,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1683","05025","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/26/2013","2/28/2014","5/26/2014","6/24/2014",17217.62,17217.62,"$7.00 AC",3.5,3.047,0.96108,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1684","05026","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/12/2012","12/7/2012","3/31/2013","4/22/2013",20588.39,20588.39,"$7.00 AC",3.43,2.98,0.9055,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1685","05030","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/27/2012","12/6/2012","5/28/2013","6/17/2013",19355.72,19355.72,"$7.00 AC",3.24,2.816,0.99937,"Palm Desert","Riverside","CA","92211","GRID Alternatives","no"
"1686","05036","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/18/2011","5/9/2012","6/27/2012","7/24/2012",10877.5,10877.5,"$4.75 AC",2.64,2.29,0.99959,"Desert Hot Springs","Riverside","CA","92240","GRID Alternatives","no"
"1687","05037","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/23/2012","5/22/2012","8/22/2012","8/29/2012",30244.47,30244.47,"$6.5 AC",5.76,5.051,0.9798,"Winton","Fresno","CA","95388","GRID Alternatives","no"
"1688","05038","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2011","12/5/2011","2/12/2012","2/22/2012",38337,38337,"$6.5 AC",7.04,5.898,0.96323,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1689","05040","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/22/2011","10/11/2011","12/23/2011","1/11/2012",25021.23,25021.23,"$7 AC",4.23,3.681,0.99739,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1690","05041","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/7/2011","1/26/2012","3/31/2012","4/6/2012",14183,17582.88,"$6.50 AC",2.53,2.182,0.886,"Lemon Grove","San Diego","CA","91945","","no"
"1691","05042","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/15/2011","1/31/2012","4/30/2012","5/18/2012",22819.4,22819.4,"$6.5 AC",4.44,3.766,0.95063,"Point Arena","Mendocino","CA","95468","GRID Alternatives","no"
"1692","05043","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/15/2011","1/31/2012","4/30/2012","5/18/2012",27641.69,27641.69,"$7 AC",4.995,4.236,0.96626,"Point Arena","Mendocino","CA","94568","GRID Alternatives","no"
"1693","05045","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/15/2011","12/23/2011","5/31/2012","6/18/2012",20587.7,20587.7,"$7 AC",3.7,3.155,0.99466,"Point Arena","Mendocino","CA","95468","GRID Alternatives","no"
"1694","05048","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/27/2011","12/23/2011","4/30/2012","5/18/2012",27641.69,27641.69,"$7 AC",4.995,4.236,0.96835,"Point Arena","Mendocino","CA","95468","GRID Alternatives","no"
"1695","05052","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/7/2011","2/17/2012","10/31/2012","12/4/2012",19761.07,19761.07,"$7 AC",3.68,3.173,0.9902,"Winchester","Riverside","CA","92596","","no"
"1696","05053","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/28/2011","2/29/2012","7/31/2012","8/14/2012",23706.86,23706.86,"$7 AC",4.18,3.633,0.8829,"Point Arena","Mendocino","CA","95468","GRID Alternatives","no"
"1697","05055","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/25/2011","12/5/2011","2/12/2012","2/22/2012",28154,28154,"$7 AC",4.7,4.022,0.98887,"Redding","Shasta","CA","96003","GRID Alternatives","no"
"1698","05058","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/27/2011","2/20/2012","7/16/2012","7/20/2012",17504.5,18127.84,"$6.5 AC",3.094,2.693,0.9857,"Oakland","Alameda","CA","94621","","no"
"1699","05059","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","1/26/2012","9/28/2012","11/30/2012","12/14/2012",11977.16,11977.16,"$7 AC",2.82,2.407,0.95002,"Oakland","Alameda","CA","94603","","no"
